seed,generation,fitness
4,70,26251.06013569867
4,71,26251.06013569867
4,72,26251.06013569867
4,73,26251.06013569867
4,74,26251.06013569867
4,75,26251.06013569867
4,76,26251.06013569867
4,77,26251.06013569867
4,78,26251.06013569867
4,79,26251.06013569867
4,80,26251.06013569867
4,81,26251.06013569867
4,82,26251.06013569867
4,83,26251.06013569867
4,84,26251.06013569867
4,85,26251.06013569867
4,86,26251.06013569867
4,87,26251.06013569867
4,88,26251.06013569867
4,89,26251.06013569867
4,90,26251.06013569867
4,91,26251.06013569867
4,92,26251.06013569867
4,93,26251.06013569867
4,94,26251.06013569867
4,95,26251.06013569867
4,96,26251.06013569867
4,97,26251.06013569867
4,98,26251.06013569867
4,99,26251.06013569867
4,100,26251.06013569867
4,101,26251.06013569867
4,102,26251.06013569867
4,103,26251.06013569867
4,104,26251.06013569867
4,105,26251.06013569867
4,106,26251.06013569867
4,107,26251.06013569867
4,108,26251.06013569867
4,109,26251.06013569867
4,110,26251.06013569867
4,111,26251.06013569867
4,112,26251.06013569867
4,113,26251.06013569867
4,114,26251.06013569867
4,115,26251.06013569867
4,116,26251.06013569867
4,117,26251.06013569867
4,118,26251.06013569867
4,119,26251.06013569867
4,120,26251.06013569867
4,121,26251.06013569867
4,122,26251.06013569867
4,123,26251.06013569867
4,124,26251.06013569867
4,125,26251.06013569867
4,126,26251.06013569867
4,127,26251.06013569867
4,128,26251.06013569867
4,129,26251.06013569867
4,130,26251.06013569867
4,131,26251.06013569867
4,132,26251.06013569867
4,133,26251.06013569867
4,134,26251.06013569867
4,135,26251.06013569867
4,136,26251.06013569867
4,137,26251.06013569867
4,138,26251.06013569867
4,139,26251.06013569867
4,140,26251.06013569867
4,141,26251.06013569867
4,142,26251.06013569867
4,143,26251.06013569867
4,144,26251.06013569867
4,145,26251.06013569867
4,146,26251.06013569867
4,147,26251.06013569867
4,148,26251.06013569867
4,149,26251.06013569867
4,150,26251.06013569867
4,151,26251.06013569867
4,152,26251.06013569867
4,153,26251.06013569867
4,154,26251.06013569867
4,155,26251.06013569867
4,156,26251.06013569867
4,157,26251.06013569867
4,158,26251.06013569867
4,159,26251.06013569867
4,160,26251.06013569867
4,161,26251.06013569867
4,162,26251.06013569867
4,163,26251.06013569867
4,164,26251.06013569867
4,165,26251.06013569867
4,166,26251.06013569867
4,167,26251.06013569867
4,168,26251.06013569867
4,169,26251.06013569867
4,170,26251.06013569867
4,171,26251.06013569867
4,172,26251.06013569867
4,173,26251.06013569867
4,174,26251.06013569867
4,175,26251.06013569867
4,176,26251.06013569867
4,177,26251.06013569867
4,178,26251.06013569867
4,179,26251.06013569867
4,180,26251.06013569867
4,181,26251.06013569867
4,182,26251.06013569867
4,183,26251.06013569867
4,184,26251.06013569867
4,185,26251.06013569867
4,186,26251.06013569867
4,187,26251.06013569867
4,188,26251.06013569867
4,189,26251.06013569867
4,190,26251.06013569867
4,191,26251.06013569867
4,192,26251.06013569867
4,193,26251.06013569867
4,194,26251.06013569867
4,195,26251.06013569867
4,196,26251.06013569867
4,197,26251.06013569867
4,198,26251.06013569867
4,199,26251.06013569867
4,200,26251.06013569867
5,1,27971.73858646309
5,2,27919.94465504878
5,3,26552.06694466517
5,4,26552.06694466517
5,5,26552.06694466517
5,6,26552.06694466517
5,7,26552.06694466517
5,8,26552.06694466517
5,9,26552.06694466517
5,10,26552.06694466517
5,11,26457.450555825944
5,12,26457.450555825944
5,13,26457.450555825944
5,14,26457.450555825944
5,15,26457.450555825944
5,16,26457.450555825944
5,17,26457.450555825944
5,18,26457.450555825944
5,19,26457.450555825944
5,20,26457.450555825944
5,21,26457.450555825944
5,22,26457.450555825944
5,23,26457.450555825944
5,24,26457.450555825944
5,25,26457.450555825944
5,26,26457.450555825944
5,27,26457.450555825944
5,28,26457.450555825944
5,29,26331.79898698503
5,30,26331.79898698503
5,31,26331.79898698503
5,32,26331.79898698503
5,33,26331.79898698503
5,34,26331.79898698503
5,35,26331.79898698503
5,36,26331.79898698503
5,37,26331.79898698503
5,38,26331.79898698503
5,39,26331.79898698503
5,40,26331.79898698503
5,41,26331.79898698503
5,42,25952.80803098801
5,43,25952.80803098801
5,44,25952.80803098801
5,45,25952.80803098801
5,46,25952.80803098801
5,47,25952.80803098801
5,48,25952.80803098801
5,49,25952.80803098801
5,50,25952.80803098801
5,51,25952.80803098801
5,52,25952.80803098801
5,53,25952.80803098801
5,54,25952.80803098801
5,55,25952.80803098801
5,56,25952.80803098801
5,57,25952.80803098801
5,58,25952.80803098801
5,59,25952.80803098801
5,60,25952.80803098801
5,61,25952.80803098801
5,62,25952.80803098801
5,63,25952.80803098801
5,64,25952.80803098801
5,65,25952.80803098801
5,66,25952.80803098801
5,67,25952.80803098801
5,68,25952.80803098801
5,69,25952.80803098801
5,70,25952.80803098801
5,71,25952.80803098801
5,72,25952.80803098801
5,73,25952.80803098801
5,74,25952.80803098801
5,75,25952.80803098801
5,76,25952.80803098801
5,77,25952.80803098801
5,78,25952.80803098801
5,79,25952.80803098801
5,80,25952.80803098801
5,81,25952.80803098801
5,82,25952.80803098801
5,83,25952.80803098801
5,84,25952.80803098801
5,85,25952.80803098801
5,86,25952.80803098801
5,87,25952.80803098801
5,88,25952.80803098801
5,89,25952.80803098801
5,90,25952.80803098801
5,91,25952.80803098801
5,92,25952.80803098801
5,93,25952.80803098801
5,94,25952.80803098801
5,95,25952.80803098801
5,96,25952.80803098801
5,97,25937.373619765185
5,98,25937.373619765185
5,99,25937.373619765185
5,100,25937.373619765185
5,101,25894.780310193382
5,102,25701.59551248401
5,103,25701.59551248401
5,104,25701.59551248401
5,105,25701.59551248401
5,106,25701.59551248401
5,107,25701.59551248401
5,108,25701.59551248401
5,109,25701.59551248401
5,110,25701.59551248401
5,111,25701.59551248401
5,112,25701.59551248401
5,113,25701.59551248401
5,114,25701.59551248401
5,115,25701.59551248401
5,116,25701.59551248401
5,117,25701.59551248401
5,118,25701.59551248401
5,119,25701.59551248401
5,120,25701.59551248401
5,121,25701.59551248401
5,122,25701.59551248401
5,123,25701.59551248401
5,124,25701.59551248401
5,125,25701.59551248401
5,126,25701.59551248401
5,127,25701.59551248401
5,128,25701.59551248401
5,129,25701.59551248401
5,130,25701.59551248401
5,131,25701.59551248401
5,132,25701.59551248401
5,133,25701.59551248401
5,134,25701.59551248401
